Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name
ENSMUSG00000076855	ENSMUSG00000076855.5	14	53743104	53743705	Trav16
ENSMUSG00000096755	ENSMUSG00000096755.2	10	130592157	130592705	Ftl1-ps2
ENSMUSG00000028101	ENSMUSG00000028101.18	3	96696384	96706070	Pias3
ENSMUSG00000094562	ENSMUSG00000094562.5	14	53757356	53757921	Trav13-4-dv7
ENSMUSG00000110246	ENSMUSG00000110246.1	8	50743291	50916997	C130073E24Rik
ENSMUSG00000042354	ENSMUSG00000042354.7	14	31012433	31019152	Gnl3
ENSMUSG00000112632	ENSMUSG00000112632.1	10	126185897	126186323	Gm4510
ENSMUSG00000004446	ENSMUSG00000004446.12	6	120891930	120916853	Bid
ENSMUSG00000094212	ENSMUSG00000094212.3	14	53763173	53763694	Trav14-3
ENSMUSG00000116190	ENSMUSG00000116190.1	15	93705313	93712769	Gm41386
ENSMUSG00000063548	ENSMUSG00000063548.3	15	85510812	85511219	Gm4825
ENSMUSG00000109840	ENSMUSG00000109840.1	8	51137630	51137847	Gm45386
ENSMUSG00000105090	ENSMUSG00000105090.1	14	53767026	53767180	Trav15-3
ENSMUSG00000109831	ENSMUSG00000109831.1	7	135742676	135833187	Gm36431
ENSMUSG00000112387	ENSMUSG00000112387.1	10	126255117	126257218	1700021G15Rik
ENSMUSG00000076858	ENSMUSG00000076858.3	14	53776956	53777576	Trav3-4
ENSMUSG00000067352	ENSMUSG00000067352.6	2	151205195	151231614	Gm14149
ENSMUSG00000027379	ENSMUSG00000027379.13	2	127801122	127831865	Bub1
ENSMUSG00000112482	ENSMUSG00000112482.1	10	126371975	126375062	1700025K04Rik
ENSMUSG00000105380	ENSMUSG00000105380.1	14	53778603	53778873	Trav12-4
ENSMUSG00000112435	ENSMUSG00000112435.1	10	126586690	126586804	Gm47965
ENSMUSG00000087666	ENSMUSG00000087666.3	14	53795357	53795963	B230359F08Rik
ENSMUSG00000112208	ENSMUSG00000112208.1	10	126663998	126674452	Gm40797
ENSMUSG00000035683	ENSMUSG00000035683.13	4	44300876	44364675	Melk
ENSMUSG00000109944	ENSMUSG00000109944.1	8	51177683	51180608	Gm32975
ENSMUSG00000096397	ENSMUSG00000096397.7	14	53806639	53807115	Trav17
ENSMUSG00000087337	ENSMUSG00000087337.1	2	151264603	151278836	Gm14144
ENSMUSG00000109691	ENSMUSG00000109691.1	8	51275890	51276925	Gm8679
ENSMUSG00000076861	ENSMUSG00000076861.10	14	53831105	53831827	Trav18
ENSMUSG00000110078	ENSMUSG00000110078.1	7	135850708	135854448	Gm45241
ENSMUSG00000024346	ENSMUSG00000024346.6	18	36403676	36454524	Pfdn1
ENSMUSG00000085223	ENSMUSG00000085223.1	4	62705981	62725737	Gm11210
ENSMUSG00000109898	ENSMUSG00000109898.1	7	135853682	135855710	6330420H09Rik
ENSMUSG00000025364	ENSMUSG00000025364.13	10	128557766	128565987	Pa2g4
ENSMUSG00000086139	ENSMUSG00000086139.1	4	62723516	62727537	Gm11211
ENSMUSG00000116237	ENSMUSG00000116237.1	15	93734413	93738490	Gm30339
ENSMUSG00000110085	ENSMUSG00000110085.1	8	51453395	51454271	Gm17911
ENSMUSG00000015437	ENSMUSG00000015437.5	14	56258838	56262260	Gzmb
ENSMUSG00000109897	ENSMUSG00000109897.1	8	51879563	51880197	Gm6458
ENSMUSG00000098905	ENSMUSG00000098905.2	13	67339306	67360605	Zfp953
ENSMUSG00000107971	ENSMUSG00000107971.1	6	120912900	120914993	Gm44260
ENSMUSG00000110004	ENSMUSG00000110004.1	7	135892815	135894469	Gm45440
ENSMUSG00000108125	ENSMUSG00000108125.1	6	120908673	120908990	Gm17812
ENSMUSG00000009112	ENSMUSG00000009112.4	6	120836212	120892842	Bcl2l13
ENSMUSG00000110163	ENSMUSG00000110163.1	8	52024987	52031271	Gm45389
ENSMUSG00000116493	ENSMUSG00000116493.1	15	93825038	93846738	Gm49445
ENSMUSG00000104310	ENSMUSG00000104310.1	1	56976803	56978640	Gm4081
ENSMUSG00000110113	ENSMUSG00000110113.1	7	135907456	135907814	Gm45439
ENSMUSG00000109823	ENSMUSG00000109823.1	8	52080163	52099750	Gm45388
ENSMUSG00000038331	ENSMUSG00000038331.15	1	56793981	56978650	Satb2
ENSMUSG00000046130	ENSMUSG00000046130.7	7	26260334	26270619	Vmn1r184
ENSMUSG00000111961	ENSMUSG00000111961.1	10	126714005	126719394	Gm47966
ENSMUSG00000028460	ENSMUSG00000028460.6	4	43482081	43483734	Sit1
ENSMUSG00000112832	ENSMUSG00000112832.1	10	126788864	126793710	4930484H19Rik
ENSMUSG00000091805	ENSMUSG00000091805.2	17	20456327	20481331	Vmn2r108
ENSMUSG00000060918	ENSMUSG00000060918.2	11	51003596	51009676	Olfr51
ENSMUSG00000118510	ENSMUSG00000118510.1	1	185432013	185432420	AC131980.1
ENSMUSG00000051295	ENSMUSG00000051295.8	1	185429355	185441819	9630028B13Rik
ENSMUSG00000108698	ENSMUSG00000108698.1	7	26292378	26292768	Gm44964
ENSMUSG00000019139	ENSMUSG00000019139.10	8	70594373	70597290	Isyna1
ENSMUSG00000101344	ENSMUSG00000101344.1	1	73750321	73841917	Gm29183
ENSMUSG00000059397	ENSMUSG00000059397.2	11	51014236	51031578	Olfr54
ENSMUSG00000041445	ENSMUSG00000041445.9	14	34375465	34404287	Mmrn2
ENSMUSG00000100301	ENSMUSG00000100301.6	1	73618088	73864466	6030407O03Rik
ENSMUSG00000097470	ENSMUSG00000097470.1	13	67660457	67661445	Gm26587
ENSMUSG00000097615	ENSMUSG00000097615.1	1	185447116	185455568	Gm2061
ENSMUSG00000105262	ENSMUSG00000105262.1	3	17923708	17924623	Gm19175
ENSMUSG00000026614	ENSMUSG00000026614.7	1	185454848	185468762	Slc30a10
ENSMUSG00000024897	ENSMUSG00000024897.9	19	23758887	23949596	Apba1
ENSMUSG00000073794	ENSMUSG00000073794.3	4	98818475	98823840	I0C0044D17Rik
ENSMUSG00000104774	ENSMUSG00000104774.1	5	11604671	11605594	Gm8920
ENSMUSG00000084188	ENSMUSG00000084188.1	4	98855614	98856034	Gm12851
ENSMUSG00000105299	ENSMUSG00000105299.1	5	11664167	11680823	Gm33847
ENSMUSG00000114820	ENSMUSG00000114820.1	14	56275793	56276948	Gm48200
ENSMUSG00000085987	ENSMUSG00000085987.2	2	33935788	33942145	Gm13403
ENSMUSG00000115420	ENSMUSG00000115420.1	4	43492783	43493063	Rmrp
ENSMUSG00000048280	ENSMUSG00000048280.18	13	67658685	67687071	Zfp738
ENSMUSG00000028461	ENSMUSG00000028461.12	4	43492900	43495921	Ccdc107
ENSMUSG00000086904	ENSMUSG00000086904.1	2	33978246	33980324	Gm13404
ENSMUSG00000043537	ENSMUSG00000043537.2	17	20498158	20506148	Vmn1r225
ENSMUSG00000094105	ENSMUSG00000094105.7	5	11681959	11686856	Gm8922
ENSMUSG00000017776	ENSMUSG00000017776.15	11	75679259	75706908	Crk
ENSMUSG00000102107	ENSMUSG00000102107.1	Y	63833904	63834597	Gm29062
ENSMUSG00000110443	ENSMUSG00000110443.1	8	72283698	72284154	Gm39197
ENSMUSG00000105307	ENSMUSG00000105307.1	3	80134132	80136456	Gm43839
ENSMUSG00000103154	ENSMUSG00000103154.1	3	80194480	80194630	Gm38295
ENSMUSG00000101057	ENSMUSG00000101057.1	Y	63870836	63871150	Gm29057
ENSMUSG00000103193	ENSMUSG00000103193.1	3	80088082	80089159	Gm19066
ENSMUSG00000103181	ENSMUSG00000103181.1	3	80054892	80213085	A330069K06Rik
ENSMUSG00000081127	ENSMUSG00000081127.1	4	44313427	44314058	Gm12677
ENSMUSG00000106990	ENSMUSG00000106990.1	6	28211008	28214805	Gm42547
ENSMUSG00000105364	ENSMUSG00000105364.1	5	11691659	11692790	Gm8924
ENSMUSG00000103929	ENSMUSG00000103929.1	3	80202492	80205598	Gm37892
ENSMUSG00000099391	ENSMUSG00000099391.2	5	11689253	11769308	1700003C15Rik
ENSMUSG00000087461	ENSMUSG00000087461.2	2	34018289	34107735	C230014O12Rik
ENSMUSG00000112492	ENSMUSG00000112492.1	10	126809592	126810300	Gm9111
ENSMUSG00000062061	ENSMUSG00000062061.3	2	25700043	25703326	Obp2a
ENSMUSG00000024576	ENSMUSG00000024576.14	18	61555274	61590061	Csnk1a1
ENSMUSG00000108502	ENSMUSG00000108502.1	7	121223253	121223994	Gm9240
ENSMUSG00000103413	ENSMUSG00000103413.1	2	34097397	34111444	Gm38389
ENSMUSG00000029310	ENSMUSG00000029310.13	5	104046306	104065379	Nudt9
ENSMUSG00000102185	ENSMUSG00000102185.1	1	185487294	185498159	5033404E19Rik
ENSMUSG00000113662	ENSMUSG00000113662.1	12	110599745	110601963	Gm35558
ENSMUSG00000094205	ENSMUSG00000094205.7	5	11770548	11775300	Gm8926
ENSMUSG00000043340	ENSMUSG00000043340.3	6	28215555	28260862	6530409C15Rik
ENSMUSG00000021103	ENSMUSG00000021103.12	12	73123717	73273988	Mnat1
ENSMUSG00000084115	ENSMUSG00000084115.1	2	60577537	60578678	Gm13566
ENSMUSG00000106959	ENSMUSG00000106959.1	6	28233081	28237013	Gm42548
ENSMUSG00000024486	ENSMUSG00000024486.6	18	36504927	36515805	Hbegf
ENSMUSG00000047221	ENSMUSG00000047221.5	5	21424958	21482124	Fam185a
ENSMUSG00000083107	ENSMUSG00000083107.1	6	28361914	28363165	Gm5303
ENSMUSG00000104578	ENSMUSG00000104578.1	5	11780120	11781251	Gm8929
ENSMUSG00000083195	ENSMUSG00000083195.1	2	60596048	60596294	Gm13567
ENSMUSG00000105479	ENSMUSG00000105479.1	5	11828046	11844359	Gm43132
ENSMUSG00000107320	ENSMUSG00000107320.1	6	28219167	28226170	Gm42549
ENSMUSG00000094036	ENSMUSG00000094036.1	5	11845539	11850352	Gm6465
ENSMUSG00000039841	ENSMUSG00000039841.14	6	28239927	28398005	Zfp800
ENSMUSG00000106410	ENSMUSG00000106410.1	5	11855234	11856181	Gm29755
ENSMUSG00000106026	ENSMUSG00000106026.1	5	11900483	11916836	Gm43131
ENSMUSG00000108895	ENSMUSG00000108895.1	7	101018623	101018868	Gm45070
ENSMUSG00000031583	ENSMUSG00000031583.13	8	33234384	33385527	Wrn
ENSMUSG00000067848	ENSMUSG00000067848.12	5	11918043	11922821	4933402N22Rik
ENSMUSG00000118287	ENSMUSG00000118287.1	19	23800538	23800817	Gm50300
ENSMUSG00000118340	ENSMUSG00000118340.1	19	23929825	23941594	Gm50301
ENSMUSG00000030145	ENSMUSG00000030145.14	6	118427319	118455528	Zfp248
ENSMUSG00000036916	ENSMUSG00000036916.13	X	48541625	48594504	Zfp280c
ENSMUSG00000100069	ENSMUSG00000100069.1	1	53390415	53392585	Gm6801
ENSMUSG00000112423	ENSMUSG00000112423.1	10	126893113	126893908	Gm6333
ENSMUSG00000105171	ENSMUSG00000105171.1	5	11927622	11928740	Gm5288
ENSMUSG00000048652	ENSMUSG00000048652.12	3	146645195	146685592	Samd13
ENSMUSG00000025436	ENSMUSG00000025436.12	10	126868427	126901355	Atp23
ENSMUSG00000103740	ENSMUSG00000103740.1	5	12092020	12099441	Gm38242
ENSMUSG00000031383	ENSMUSG00000031383.8	X	73639419	73643514	Dusp9
ENSMUSG00000099516	ENSMUSG00000099516.1	5	12089537	12097647	Gm29066
ENSMUSG00000090305	ENSMUSG00000090305.2	14	31076638	31077435	Gm5459
ENSMUSG00000105155	ENSMUSG00000105155.1	5	12142041	12144961	Gm42910
ENSMUSG00000104941	ENSMUSG00000104941.1	5	12354697	12355787	Gm8953
ENSMUSG00000102379	ENSMUSG00000102379.1	3	80285123	80334595	Gm37971
ENSMUSG00000024287	ENSMUSG00000024287.8	18	9957906	9995489	Thoc1
ENSMUSG00000004937	ENSMUSG00000004937.6	10	81044075	81060181	Sgta
ENSMUSG00000108770	ENSMUSG00000108770.1	7	64213190	64213338	Gm44719
ENSMUSG00000087022	ENSMUSG00000087022.4	1	56971412	57050084	9130024F11Rik
ENSMUSG00000090202	ENSMUSG00000090202.1	3	146645193	146651317	4930503B20Rik
ENSMUSG00000108645	ENSMUSG00000108645.1	7	64202089	64202524	Gm44722
ENSMUSG00000018379	ENSMUSG00000018379.17	11	88047373	88053755	Srsf1
ENSMUSG00000032740	ENSMUSG00000032740.16	11	29373658	29510808	Ccdc88a
ENSMUSG00000030612	ENSMUSG00000030612.6	7	78775236	78783531	Mrpl46
ENSMUSG00000076862	ENSMUSG00000076862.5	14	53845234	53845827	Trav19
ENSMUSG00000086858	ENSMUSG00000086858.2	14	53863110	53863661	Trav20
ENSMUSG00000059316	ENSMUSG00000059316.2	2	29802634	29817522	Slc27a4
ENSMUSG00000022607	ENSMUSG00000022607.18	15	73205102	73423280	Ptk2
ENSMUSG00000062078	ENSMUSG00000062078.15	17	10202601	10319854	Qk
ENSMUSG00000085810	ENSMUSG00000085810.7	3	146641932	146651715	Gm16325
ENSMUSG00000073079	ENSMUSG00000073079.6	12	55080262	55115367	Srp54a
ENSMUSG00000076863	ENSMUSG00000076863.8	14	53875984	53876752	Trav21-dv12
ENSMUSG00000030611	ENSMUSG00000030611.10	7	78783119	78792989	Mrps11
ENSMUSG00000103799	ENSMUSG00000103799.1	1	185744803	185757772	Gm38093
ENSMUSG00000109171	ENSMUSG00000109171.1	7	101061309	101061475	Gm5735
ENSMUSG00000076864	ENSMUSG00000076864.9	14	53881612	53882217	Trdv1
ENSMUSG00000108697	ENSMUSG00000108697.1	7	121258764	121259395	4930486N12Rik
ENSMUSG00000040274	ENSMUSG00000040274.11	5	3341485	3531008	Cdk6
ENSMUSG00000108627	ENSMUSG00000108627.1	7	121257359	121295852	Gm45079
ENSMUSG00000019975	ENSMUSG00000019975.12	10	91082940	91102607	Ikbip
ENSMUSG00000102546	ENSMUSG00000102546.1	1	185878084	185878885	Gm9722
ENSMUSG00000105963	ENSMUSG00000105963.1	14	53918327	53961515	Gm43647
ENSMUSG00000106035	ENSMUSG00000106035.1	5	104044619	104047397	Gm43545
ENSMUSG00000118214	ENSMUSG00000118214.1	18	36521883	36524939	Gm50199
ENSMUSG00000087609	ENSMUSG00000087609.1	2	151301974	151316247	4930442J19Rik
ENSMUSG00000096056	ENSMUSG00000096056.1	X	101295839	101321348	Gm21986
ENSMUSG00000104650	ENSMUSG00000104650.1	14	53926978	53927595	Trav22
ENSMUSG00000093751	ENSMUSG00000093751.1	7	63606019	63606650	Gm3307
ENSMUSG00000070713	ENSMUSG00000070713.5	8	72304110	72305260	Gm10282
ENSMUSG00000081788	ENSMUSG00000081788.2	7	63542479	63544549	Gm5898
ENSMUSG00000076866	ENSMUSG00000076866.3	14	53960944	53961602	Trdv2-2
ENSMUSG00000109800	ENSMUSG00000109800.1	7	10745268	10746226	Gm5130
ENSMUSG00000033510	ENSMUSG00000033510.14	7	63444751	63759028	Otud7a
ENSMUSG00000076865	ENSMUSG00000076865.6	14	53946073	53946660	Trdv2-1
ENSMUSG00000059206	ENSMUSG00000059206.4	7	10744543	10754364	Vmn1r71
ENSMUSG00000090572	ENSMUSG00000090572.2	17	20539969	20564756	Vmn2r109
ENSMUSG00000097360	ENSMUSG00000097360.8	13	67553035	67564010	9430065F17Rik
ENSMUSG00000105309	ENSMUSG00000105309.1	5	86860657	86863506	Gm21461
ENSMUSG00000046321	ENSMUSG00000046321.8	7	121391859	121501770	Hs3st2
ENSMUSG00000079487	ENSMUSG00000079487.11	X	101274030	101297465	Med12
ENSMUSG00000055148	ENSMUSG00000055148.7	8	72319033	72321656	Klf2
ENSMUSG00000097920	ENSMUSG00000097920.1	1	23479539	23480527	Gm7784
ENSMUSG00000108409	ENSMUSG00000108409.1	7	121589903	121591591	1700025J12Rik
ENSMUSG00000101125	ENSMUSG00000101125.1	Y	63901888	63905126	Gm29625
ENSMUSG00000108351	ENSMUSG00000108351.1	7	121314810	121393101	Gm36736
ENSMUSG00000108811	ENSMUSG00000108811.1	7	121468844	121609334	4933432K03Rik
ENSMUSG00000083391	ENSMUSG00000083391.2	2	151374008	151375047	Gm14148
ENSMUSG00000086946	ENSMUSG00000086946.7	6	54245742	54279076	Gm15527
ENSMUSG00000085037	ENSMUSG00000085037.1	4	33027142	33031323	4933421O10Rik
ENSMUSG00000083953	ENSMUSG00000083953.1	2	130987984	130988619	Gm14049
ENSMUSG00000027312	ENSMUSG00000027312.14	2	130906495	131030333	Atrn
ENSMUSG00000112035	ENSMUSG00000112035.1	10	126958023	126960997	Gm49335
ENSMUSG00000080782	ENSMUSG00000080782.1	2	51938133	51938669	Gm13495
ENSMUSG00000105534	ENSMUSG00000105534.1	5	3498625	3500072	Gm42435
ENSMUSG00000086193	ENSMUSG00000086193.1	11	88011991	88048006	Gm11508
ENSMUSG00000106588	ENSMUSG00000106588.1	5	3472861	3480873	Gm17590
ENSMUSG00000108536	ENSMUSG00000108536.1	7	78777290	78778366	Gm45059
ENSMUSG00000071273	ENSMUSG00000071273.4	17	20570369	20571198	Gm5145
ENSMUSG00000039910	ENSMUSG00000039910.10	10	17723218	17725674	Cited2
ENSMUSG00000057890	ENSMUSG00000057890.5	11	51048109	51049050	Olfr1375
ENSMUSG00000091259	ENSMUSG00000091259.2	17	20567760	20596423	Vmn2r110
ENSMUSG00000102436	ENSMUSG00000102436.1	3	41648118	41649250	Gm38047
ENSMUSG00000104296	ENSMUSG00000104296.1	14	116750215	116751129	Gm38045
ENSMUSG00000103056	ENSMUSG00000103056.1	1	186112181	186112373	Gm38268
ENSMUSG00000045725	ENSMUSG00000045725.5	6	54325835	54330201	Prr15
ENSMUSG00000039246	ENSMUSG00000039246.8	1	186087731	186117310	Lyplal1
ENSMUSG00000059834	ENSMUSG00000059834.12	3	41626720	41742514	Sclt1
ENSMUSG00000030428	ENSMUSG00000030428.16	7	4119408	4136708	Ttyh1
ENSMUSG00000074254	ENSMUSG00000074254.4	7	26307169	26315088	Cyp2a4
ENSMUSG00000085178	ENSMUSG00000085178.1	11	69401513	69402700	Kdm6bos
ENSMUSG00000083845	ENSMUSG00000083845.1	X	39796584	39797153	Gm14571
ENSMUSG00000018476	ENSMUSG00000018476.7	11	69398508	69413675	Kdm6b
ENSMUSG00000108081	ENSMUSG00000108081.1	6	54463685	54473170	Gm44026
ENSMUSG00000073067	ENSMUSG00000073067.10	6	54269681	54430221	9130019P16Rik
ENSMUSG00000058571	ENSMUSG00000058571.11	14	116925315	117976544	Gpc6
ENSMUSG00000026439	ENSMUSG00000026439.14	1	132477365	132505659	Rbbp5
ENSMUSG00000095240	ENSMUSG00000095240.1	X	39862919	39863604	Cypt14
ENSMUSG00000028745	ENSMUSG00000028745.18	4	139192899	139291818	Capzb
ENSMUSG00000101887	ENSMUSG00000101887.1	Y	64012428	64013118	Gm21654
ENSMUSG00000041530	ENSMUSG00000041530.16	4	126435012	126468583	Ago1
ENSMUSG00000099503	ENSMUSG00000099503.1	1	23574587	23596664	Gm28822
ENSMUSG00000084966	ENSMUSG00000084966.1	11	28681564	28693276	2810471M01Rik
ENSMUSG00000101015	ENSMUSG00000101015.1	1	125667988	125668616	Gm18444
ENSMUSG00000055560	ENSMUSG00000055560.8	13	67405709	67421418	Zfp459
ENSMUSG00000115607	ENSMUSG00000115607.1	15	24724160	24724793	Gm2803
ENSMUSG00000109747	ENSMUSG00000109747.1	7	10780155	10780718	Gm45438
ENSMUSG00000100521	ENSMUSG00000100521.1	Y	64042912	64043526	Gm29058
ENSMUSG00000022229	ENSMUSG00000022229.3	14	56365068	56388550	Atp12a
ENSMUSG00000101790	ENSMUSG00000101790.1	Y	64079628	64079942	Gm29059
ENSMUSG00000110097	ENSMUSG00000110097.1	7	10794242	10799057	Zscan4a
ENSMUSG00000086040	ENSMUSG00000086040.8	6	54429603	54503768	Wipf3
ENSMUSG00000108431	ENSMUSG00000108431.1	7	26304421	26307286	Gm42375
ENSMUSG00000113869	ENSMUSG00000113869.1	13	9352028	9352689	Gm48869
ENSMUSG00000113065	ENSMUSG00000113065.1	13	9344402	9348425	Gm48870
ENSMUSG00000100452	ENSMUSG00000100452.1	Y	64116692	64119931	Gm29628
ENSMUSG00000048264	ENSMUSG00000048264.16	13	9276528	9668928	Dip2c
ENSMUSG00000109924	ENSMUSG00000109924.1	7	10805245	10806168	Gm18781
ENSMUSG00000101403	ENSMUSG00000101403.1	Y	64227060	64227755	Gm20882
ENSMUSG00000082736	ENSMUSG00000082736.1	X	13927287	13929511	Gm5381
ENSMUSG00000024045	ENSMUSG00000024045.6	17	32303672	32321238	Akap8
ENSMUSG00000026116	ENSMUSG00000026116.11	1	36792191	36943666	Tmem131
ENSMUSG00000093537	ENSMUSG00000093537.1	10	17817379	17818318	Gm7584
ENSMUSG00000000308	ENSMUSG00000000308.14	2	121357714	121363737	Ckmt1
ENSMUSG00000039891	ENSMUSG00000039891.6	10	17796226	17845665	Txlnb
ENSMUSG00000114345	ENSMUSG00000114345.1	14	56376902	56391562	Gm10873
ENSMUSG00000106166	ENSMUSG00000106166.1	3	37488827	37494792	Gm43484
ENSMUSG00000060701	ENSMUSG00000060701.1	17	20623846	20624877	Fpr-rs3
ENSMUSG00000045031	ENSMUSG00000045031.18	3	37307749	37312708	Cetn4
ENSMUSG00000096916	ENSMUSG00000096916.7	7	27984854	28014115	Zfp850
ENSMUSG00000098781	ENSMUSG00000098781.1	13	67317942	67360536	Gm28044
ENSMUSG00000117295	ENSMUSG00000117295.1	17	20661558	20662067	Gm5492
ENSMUSG00000035325	ENSMUSG00000035325.16	5	100361649	100416234	Sec31a
ENSMUSG00000042848	ENSMUSG00000042848.4	17	20682843	20692671	Vmn1r226
ENSMUSG00000081769	ENSMUSG00000081769.9	11	53783418	53859256	Gm12216
ENSMUSG00000008845	ENSMUSG00000008845.9	6	124304656	124330527	Cd163
ENSMUSG00000118421	ENSMUSG00000118421.1	9	20893243	20894023	AC170598.1
ENSMUSG00000108406	ENSMUSG00000108406.1	7	44096165	44098547	Klk1b15-ps
ENSMUSG00000108517	ENSMUSG00000108517.1	7	44099360	44099510	Gm45125
ENSMUSG00000024471	ENSMUSG00000024471.12	18	44334074	44355724	Myot
ENSMUSG00000027564	ENSMUSG00000027564.4	3	17948410	17948959	Cypt12
ENSMUSG00000028048	ENSMUSG00000028048.11	3	89202928	89208966	Gba
ENSMUSG00000037606	ENSMUSG00000037606.18	7	143688762	143756985	Osbpl5
ENSMUSG00000093672	ENSMUSG00000093672.2	10	17790522	17799921	Gm20655
ENSMUSG00000047879	ENSMUSG00000047879.17	18	9993066	10045119	Usp14
ENSMUSG00000059366	ENSMUSG00000059366.3	9	39569383	39575569	Olfr959
ENSMUSG00000101830	ENSMUSG00000101830.1	Y	64301906	64302598	Gm20907
ENSMUSG00000108421	ENSMUSG00000108421.1	7	63765874	63766232	Gm44718
ENSMUSG00000108700	ENSMUSG00000108700.1	7	63810826	63811330	Gm7482
ENSMUSG00000090840	ENSMUSG00000090840.2	19	8740718	8741225	1700092M07Rik
ENSMUSG00000092353	ENSMUSG00000092353.1	2	18742715	18760862	Gm20539
ENSMUSG00000072623	ENSMUSG00000072623.6	6	118461950	118479320	Zfp9
ENSMUSG00000081139	ENSMUSG00000081139.1	2	18758984	18759764	Gm13333
ENSMUSG00000037708	ENSMUSG00000037708.16	2	18694032	18750413	Spag6
ENSMUSG00000002731	ENSMUSG00000002731.6	2	76629898	76648015	Prkra
ENSMUSG00000082896	ENSMUSG00000082896.1	3	18008806	18010996	Gm5844
ENSMUSG00000108629	ENSMUSG00000108629.1	7	63826978	63827237	Gm44720
ENSMUSG00000113886	ENSMUSG00000113886.1	12	28810138	28811191	Gm48905
ENSMUSG00000118520	ENSMUSG00000118520.1	6	118486453	118488430	AC140192.1
ENSMUSG00000114081	ENSMUSG00000114081.1	12	28789669	28792612	Gm48904
ENSMUSG00000036613	ENSMUSG00000036613.8	12	28751803	28869865	Eipr1
ENSMUSG00000061947	ENSMUSG00000061947.10	12	103614786	103631444	Serpina10
ENSMUSG00000112257	ENSMUSG00000112257.1	10	52801493	52801700	Gm47623
ENSMUSG00000038602	ENSMUSG00000038602.7	10	52690533	53111622	Slc35f1
