Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000005486	ENSG00000005486.12	75471920	75518244	7	RHBDD2
ENSG00000005513	ENSG00000005513.9	1031808	1036979	16	SOX8
ENSG00000005700	ENSG00000005700.10	82879700	82957471	6	IBTK
ENSG00000005801	ENSG00000005801.12	3360491	3400448	11	ZNF195
ENSG00000005810	ENSG00000005810.13	77618792	77901185	13	MYCBP2
ENSG00000005812	ENSG00000005812.6	77566740	77601330	13	FBXL3
ENSG00000005844	ENSG00000005844.13	30483979	30534506	16	ITGAL
ENSG00000005882	ENSG00000005882.7	48172101	48189516	17	PDK2
ENSG00000005884	ENSG00000005884.13	48133332	48167845	17	ITGA3
ENSG00000005889	ENSG00000005889.11	24167290	24234372	X	ZFX
ENSG00000005893	ENSG00000005893.11	119561682	119603220	X	LAMP2
ENSG00000005955	ENSG00000005955.8	34900737	34946278	17	GGNBP2
ENSG00000005961	ENSG00000005961.13	42449548	42466873	17	ITGA2B
ENSG00000005981	ENSG00000005981.8	95107756	95169544	7	ASB4
ENSG00000006007	ENSG00000006007.7	19513015	19533467	16	GDE1
ENSG00000006015	ENSG00000006015.13	18699495	18703146	19	C19orf60
ENSG00000006016	ENSG00000006016.6	18683030	18718551	19	CRLF1
ENSG00000006025	ENSG00000006025.7	45884738	45899200	17	OSBPL7
ENSG00000006042	ENSG00000006042.7	31254928	31272124	17	TMEM98
ENSG00000006047	ENSG00000006047.8	7191571	7197934	17	YBX2
ENSG00000006059	ENSG00000006059.3	39502344	39507064	17	KRT33A
ENSG00000006062	ENSG00000006062.9	43340488	43394414	17	MAP3K14
ENSG00000006071	ENSG00000006071.7	17414432	17498449	11	ABCC8
ENSG00000006074	ENSG00000006074.4	34391640	34399392	17	CCL18
ENSG00000006075	ENSG00000006075.11	34415602	34417515	17	CCL3
ENSG00000006114	ENSG00000006114.11	35874900	35969544	17	SYNRG
ENSG00000006116	ENSG00000006116.3	24266874	24374122	16	CACNG3
ENSG00000006118	ENSG00000006118.10	60691935	60704631	11	TMEM132A
ENSG00000006125	ENSG00000006125.12	33905065	34053436	17	AP2B1
ENSG00000006128	ENSG00000006128.7	97361220	97369784	7	TAC1
ENSG00000006194	ENSG00000006194.6	3313743	3351401	16	ZNF263
ENSG00000006210	ENSG00000006210.6	57406370	57418960	16	CX3CL1
ENSG00000006282	ENSG00000006282.15	48620419	48633213	17	SPATA20
ENSG00000006283	ENSG00000006283.13	48638429	48704835	17	CACNA1G
ENSG00000006327	ENSG00000006327.9	3068446	3072384	16	TNFRSF12A
ENSG00000006377	ENSG00000006377.9	96634860	96640351	7	DLX6
ENSG00000006432	ENSG00000006432.11	71189243	71276251	14	MAP3K9
ENSG00000006451	ENSG00000006451.3	39663082	39747723	7	RALA
ENSG00000006453	ENSG00000006453.9	97920963	98030380	7	BAIAP2L1
ENSG00000006459	ENSG00000006459.6	139784546	139876835	7	KDM7A
ENSG00000006468	ENSG00000006468.9	13930853	14031050	7	ETV1
ENSG00000006530	ENSG00000006530.11	141250989	141355044	7	AGK
ENSG00000006534	ENSG00000006534.11	67776048	67796744	11	ALDH3B1
ENSG00000006555	ENSG00000006555.6	55245385	55266940	1	TTC22
ENSG00000006576	ENSG00000006576.12	77428122	77586818	7	PHTF2
ENSG00000006606	ENSG00000006606.4	75398851	75419214	7	CCL26
ENSG00000006607	ENSG00000006607.9	242295658	242434256	2	FARP2
ENSG00000006611	ENSG00000006611.11	17515442	17565963	11	USH1C
ENSG00000006625	ENSG00000006625.13	30536237	30591095	7	GGCT
ENSG00000006634	ENSG00000006634.3	87505531	87538856	7	DBF4
ENSG00000006638	ENSG00000006638.7	3594504	3606838	19	TBXA2R
ENSG00000006652	ENSG00000006652.9	112063023	112121072	7	IFRD1
ENSG00000006659	ENSG00000006659.8	40194946	40200084	19	LGALS14
ENSG00000006695	ENSG00000006695.6	13972813	14111994	17	COX10
ENSG00000006704	ENSG00000006704.6	73868120	74016931	7	GTF2IRD1
ENSG00000006712	ENSG00000006712.10	39876492	39881835	19	PAF1
ENSG00000006715	ENSG00000006715.11	38762563	38971994	7	VPS41
ENSG00000006740	ENSG00000006740.12	12692856	12894960	17	ARHGAP44
ENSG00000006744	ENSG00000006744.14	12895708	12921504	17	ELAC2
ENSG00000006747	ENSG00000006747.10	12610203	12693228	7	SCIN
ENSG00000006756	ENSG00000006756.11	2822011	2847392	X	ARSD
ENSG00000006757	ENSG00000006757.7	7866288	7895780	X	PNPLA4
ENSG00000006788	ENSG00000006788.8	10201401	10276447	17	MYH13
ENSG00000006831	ENSG00000006831.9	1797740	1897844	12	ADIPOR2
ENSG00000006837	ENSG00000006837.7	133541305	133706738	5	CDKL3
ENSG00000007001	ENSG00000007001.8	158733214	158992666	2	UPP2
ENSG00000007038	ENSG00000007038.6	2867164	2876305	16	PRSS21
ENSG00000007047	ENSG00000007047.10	45582546	45808541	19	MARK4
ENSG00000007062	ENSG00000007062.7	15964699	16086001	4	PROM1
ENSG00000007080	ENSG00000007080.6	18043825	18054800	19	CCDC124
ENSG00000007129	ENSG00000007129.13	42055886	42093197	19	CEACAM21
ENSG00000007168	ENSG00000007168.8	2496504	2588909	17	PAFAH1B1
ENSG00000007171	ENSG00000007171.12	26083792	26127525	17	NOS2
ENSG00000007174	ENSG00000007174.13	11501748	11873065	17	DNAH9
ENSG00000007202	ENSG00000007202.10	26941458	26972472	17	KIAA0100
ENSG00000007216	ENSG00000007216.10	26800311	26824799	17	SLC13A2
ENSG00000007237	ENSG00000007237.14	9813926	10101868	17	GAS7
ENSG00000007255	ENSG00000007255.6	45666186	45681495	19	TRAPPC6A
ENSG00000007264	ENSG00000007264.9	3777971	3802127	19	MATK
ENSG00000007306	ENSG00000007306.10	42177235	42210895	19	CEACAM7
ENSG00000007312	ENSG00000007312.8	62006100	62009714	17	CD79B
ENSG00000007314	ENSG00000007314.7	62015914	62050278	17	SCN4A
ENSG00000007341	ENSG00000007341.14	113066140	113163447	1	ST7L
ENSG00000007350	ENSG00000007350.12	153524024	153558700	X	TKTL1
ENSG00000007372	ENSG00000007372.16	31806340	31839509	11	PAX6
ENSG00000007376	ENSG00000007376.3	834974	838397	16	RPUSD1
ENSG00000007384	ENSG00000007384.11	108058	126354	16	RHBDF1
ENSG00000007392	ENSG00000007392.12	238968	279462	16	LUC7L
ENSG00000007402	ENSG00000007402.7	50400233	50541675	3	CACNA2D2
ENSG00000007516	ENSG00000007516.9	1383602	1399439	16	BAIAP3
ENSG00000007520	ENSG00000007520.3	1399241	1401912	16	TSR3
ENSG00000007541	ENSG00000007541.10	616995	634136	16	PIGQ
ENSG00000007545	ENSG00000007545.11	1662326	1727909	16	CRAMP1L
ENSG00000007866	ENSG00000007866.14	35441374	35464853	6	TEAD3
ENSG00000007908	ENSG00000007908.11	169691781	169733846	1	SELE
ENSG00000007923	ENSG00000007923.11	6694228	6761984	1	DNAJC11
ENSG00000007933	ENSG00000007933.8	171060018	171086959	1	FMO3
ENSG00000007944	ENSG00000007944.10	16129356	16148479	6	MYLIP
ENSG00000007952	ENSG00000007952.13	100098313	100129334	X	NOX1
ENSG00000007968	ENSG00000007968.6	23832922	23857712	1	E2F2
ENSG00000008018	ENSG00000008018.8	170844205	170862429	6	PSMB1
ENSG00000008056	ENSG00000008056.8	47431303	47479252	X	SYN1
ENSG00000008083	ENSG00000008083.9	15246527	15522252	6	JARID2
ENSG00000008086	ENSG00000008086.6	18443703	18671749	X	CDKL5
ENSG00000008118	ENSG00000008118.5	209757062	209787283	1	CAMK1G
ENSG00000008128	ENSG00000008128.18	1634169	1655766	1	CDK11A
ENSG00000008130	ENSG00000008130.11	1682671	1711896	1	NADK
ENSG00000008196	ENSG00000008196.8	50786436	50815326	6	TFAP2B
ENSG00000008197	ENSG00000008197.4	50681541	50740701	6	TFAP2D
ENSG00000008226	ENSG00000008226.15	38080696	38165516	3	DLEC1
ENSG00000008256	ENSG00000008256.11	6201407	6312275	7	CYTH3
ENSG00000008277	ENSG00000008277.10	87563458	87832204	7	ADAM22
ENSG00000008282	ENSG00000008282.3	105730949	105753022	7	SYPL1
ENSG00000008283	ENSG00000008283.11	61509665	61523739	17	CYB561
ENSG00000008294	ENSG00000008294.16	49039535	49198226	17	SPAG9
ENSG00000008300	ENSG00000008300.10	48673902	48700348	3	CELSR3
ENSG00000008311	ENSG00000008311.10	121715701	121784334	7	AASS
ENSG00000008323	ENSG00000008323.11	6419602	6437672	12	PLEKHG6
ENSG00000008324	ENSG00000008324.6	42623332	42636606	3	SS18L2
ENSG00000008382	ENSG00000008382.11	4343524	4360083	19	MPND
ENSG00000008394	ENSG00000008394.8	16500076	16762193	12	MGST1
ENSG00000008405	ENSG00000008405.7	107385142	107487607	12	CRY1
ENSG00000008438	ENSG00000008438.4	46522411	46526323	19	PGLYRP1
ENSG00000008441	ENSG00000008441.12	13106422	13209610	19	NFIX
ENSG00000008513	ENSG00000008513.10	134467091	134584183	8	ST3GAL1
ENSG00000008516	ENSG00000008516.12	3096682	3110727	16	MMP25
ENSG00000008517	ENSG00000008517.12	3115298	3131908	16	IL32
ENSG00000008710	ENSG00000008710.13	2138711	2185899	16	PKD1
ENSG00000008735	ENSG00000008735.10	51039114	51052409	22	MAPK8IP2
ENSG00000008838	ENSG00000008838.13	38175350	38217468	17	MED24
ENSG00000008853	ENSG00000008853.12	22844930	22877712	8	RHOBTB2
ENSG00000008869	ENSG00000008869.7	37195526	37311485	2	HEATR5B
ENSG00000008952	ENSG00000008952.12	169684423	169716161	3	SEC62
ENSG00000008988	ENSG00000008988.5	56979854	56987069	8	RPS20
ENSG00000009307	ENSG00000009307.11	115259534	115301297	1	CSDE1
ENSG00000009335	ENSG00000009335.13	156931607	157062066	7	UBE3C
ENSG00000009413	ENSG00000009413.11	111620234	111804918	6	REV3L
ENSG00000009694	ENSG00000009694.9	123509753	124097666	X	TENM1
ENSG00000009709	ENSG00000009709.7	18957500	19075360	1	PAX7
ENSG00000009724	ENSG00000009724.12	11086580	11107290	1	MASP2
ENSG00000009765	ENSG00000009765.10	150690028	150727105	6	IYD
ENSG00000009780	ENSG00000009780.11	28052490	28089633	1	FAM76A
ENSG00000009790	ENSG00000009790.10	209929377	209955668	1	TRAF3IP3
ENSG00000009830	ENSG00000009830.7	77741299	77787227	14	POMT2
ENSG00000009844	ENSG00000009844.11	142468367	142545826	6	VTA1
ENSG00000009950	ENSG00000009950.11	73007524	73038873	7	MLXIPL
ENSG00000009954	ENSG00000009954.6	72854728	72936608	7	BAZ1B
ENSG00000010017	ENSG00000010017.9	13621730	13711796	6	RANBP9
ENSG00000010030	ENSG00000010030.9	36322419	36356164	6	ETV7
ENSG00000010072	ENSG00000010072.11	231472850	231490769	1	SPRTN
ENSG00000010165	ENSG00000010165.15	171750788	171783163	1	METTL13
ENSG00000010219	ENSG00000010219.9	4671370	4723325	12	DYRK4
ENSG00000010244	ENSG00000010244.12	30677136	30708905	17	ZNF207
ENSG00000010256	ENSG00000010256.6	48636435	48648409	3	UQCRC1
ENSG00000010270	ENSG00000010270.9	38217824	38270272	7	STARD3NL
ENSG00000010278	ENSG00000010278.7	6308881	6347425	12	CD9
ENSG00000010282	ENSG00000010282.10	42734155	42744319	3	HHATL
ENSG00000010292	ENSG00000010292.8	6602522	6641121	12	NCAPD2
ENSG00000010295	ENSG00000010295.15	6647541	6665239	12	IFFO1
ENSG00000010310	ENSG00000010310.4	46171502	46186982	19	GIPR
ENSG00000010318	ENSG00000010318.15	52444673	52457657	3	PHF7
ENSG00000010319	ENSG00000010319.2	52467069	52479101	3	SEMA3G
ENSG00000010322	ENSG00000010322.11	52489134	52527087	3	NISCH
ENSG00000010327	ENSG00000010327.6	52529354	52558511	3	STAB1
ENSG00000010361	ENSG00000010361.9	50310126	50320633	19	FUZ
ENSG00000010379	ENSG00000010379.11	329789	372039	12	SLC6A13
ENSG00000010404	ENSG00000010404.13	148558521	148615470	X	IDS
ENSG00000010438	ENSG00000010438.12	33750515	33799230	9	PRSS3
ENSG00000010539	ENSG00000010539.7	3272325	3286221	16	ZNF200
ENSG00000010610	ENSG00000010610.5	6896024	6929974	12	CD4
ENSG00000010626	ENSG00000010626.10	6982733	7023407	12	LRRC23
ENSG00000010671	ENSG00000010671.11	100604435	100641183	X	BTK
ENSG00000010704	ENSG00000010704.14	26087509	26098571	6	HFE
ENSG00000010803	ENSG00000010803.12	41492872	41707826	1	SCMH1
ENSG00000010810	ENSG00000010810.13	111981535	112194655	6	FYN
ENSG00000010818	ENSG00000010818.4	143072604	143266338	6	HIVEP2
ENSG00000010932	ENSG00000010932.11	171217638	171255117	1	FMO1
ENSG00000011007	ENSG00000011007.8	24069645	24088549	1	TCEB3
ENSG00000011009	ENSG00000011009.6	24117460	24122029	1	LYPLA2
ENSG00000011021	ENSG00000011021.17	11866207	11903201	1	CLCN6
ENSG00000011028	ENSG00000011028.9	60704762	60770958	17	MRC2
ENSG00000011052	ENSG00000011052.17	49230951	49249105	17	NME2
ENSG00000011083	ENSG00000011083.4	149569520	149602351	5	SLC6A7
ENSG00000011105	ENSG00000011105.7	3186521	3395730	12	TSPAN9
ENSG00000011114	ENSG00000011114.10	93703896	93799438	14	BTBD7
ENSG00000011132	ENSG00000011132.7	3750817	3761697	19	APBA3
ENSG00000011143	ENSG00000011143.12	56282803	56296966	17	MKS1
ENSG00000011198	ENSG00000011198.3	43731605	43775863	3	ABHD5
ENSG00000011201	ENSG00000011201.6	8496915	8700227	X	KAL1
ENSG00000011243	ENSG00000011243.13	15490859	15529952	19	AKAP8L
ENSG00000011258	ENSG00000011258.11	49254786	49337524	17	MBTD1
ENSG00000011260	ENSG00000011260.9	49337889	49375297	17	UTP18
ENSG00000011275	ENSG00000011275.14	5659678	5821370	7	RNF216
ENSG00000011295	ENSG00000011295.11	15902694	15948329	17	TTC19
ENSG00000011304	ENSG00000011304.12	797075	812327	19	PTBP1
ENSG00000011332	ENSG00000011332.15	38701646	38720354	19	DPF1
ENSG00000011347	ENSG00000011347.5	61282785	61348620	11	SYT7
ENSG00000011376	ENSG00000011376.5	45429998	45590913	3	LARS2
ENSG00000011405	ENSG00000011405.9	17099277	17229530	11	PIK3C2A
ENSG00000011422	ENSG00000011422.7	44150247	44174699	19	PLAUR
ENSG00000011426	ENSG00000011426.6	36429415	36493400	7	ANLN
ENSG00000011451	ENSG00000011451.13	15532319	15560762	19	WIZ
ENSG00000011454	ENSG00000011454.12	125703112	125867145	9	RABGAP1
ENSG00000011465	ENSG00000011465.12	91539025	91576900	12	DCN
ENSG00000011478	ENSG00000011478.7	46195741	46207247	19	QPCTL
ENSG00000011485	ENSG00000011485.10	46850251	46896238	19	PPP5C
ENSG00000011523	ENSG00000011523.9	65283500	65314138	2	CEP68
ENSG00000011566	ENSG00000011566.10	39476407	39664453	2	MAP4K3
ENSG00000011590	ENSG00000011590.9	36195429	36207940	19	ZBTB32
ENSG00000011600	ENSG00000011600.7	36395303	36399197	19	TYROBP
ENSG00000011638	ENSG00000011638.6	21169698	21191937	16	TMEM159
ENSG00000011677	ENSG00000011677.8	151334706	151619830	X	GABRA3
ENSG00000012048	ENSG00000012048.15	41196312	41277500	17	BRCA1
ENSG00000012061	ENSG00000012061.11	45910591	45982086	19	ERCC1
ENSG00000012124	ENSG00000012124.10	35810164	35838258	19	CD22
ENSG00000012171	ENSG00000012171.13	50304990	50314977	3	SEMA3B
ENSG00000012174	ENSG00000012174.7	21857754	21903542	X	MBTPS2
ENSG00000012211	ENSG00000012211.8	49031151	49042845	X	PRICKLE3
ENSG00000012223	ENSG00000012223.8	46477136	46526724	3	LTF
ENSG00000012232	ENSG00000012232.4	28457986	28613116	8	EXTL3
ENSG00000012504	ENSG00000012504.9	100867486	100958191	12	NR1H4
ENSG00000012660	ENSG00000012660.9	53132196	53213947	6	ELOVL5
ENSG00000012779	ENSG00000012779.6	45869661	45941561	10	ALOX5
ENSG00000012817	ENSG00000012817.11	21865751	21906825	Y	KDM5D
ENSG00000012822	ENSG00000012822.11	54104903	54121529	12	CALCOCO1
ENSG00000012963	ENSG00000012963.9	93673401	93695561	14	UBR7
ENSG00000012983	ENSG00000012983.7	50885219	51027844	14	MAP4K5
ENSG00000013016	ENSG00000013016.10	31456880	31492313	2	EHD3
ENSG00000013275	ENSG00000013275.3	40476912	40487348	19	PSMC4
ENSG00000013288	ENSG00000013288.4	6576902	6625089	4	MAN2B2
ENSG00000013293	ENSG00000013293.5	170177372	170303863	3	SLC7A14
ENSG00000013297	ENSG00000013297.6	170136653	170578169	3	CLDN11
ENSG00000013306	ENSG00000013306.11	42396993	42402238	17	SLC25A39
ENSG00000013364	ENSG00000013364.14	29831715	29859355	16	MVP
ENSG00000013374	ENSG00000013374.11	151038785	151075535	7	NUB1
ENSG00000013375	ENSG00000013375.11	83870869	83903655	6	PGM3
ENSG00000013392	ENSG00000013392.6	83903098	83908651	6	RWDD2A
ENSG00000013441	ENSG00000013441.11	201717732	201729422	2	CLK1
ENSG00000013503	ENSG00000013503.5	106751436	106903976	12	POLR3B
ENSG00000013523	ENSG00000013523.5	77253588	77292589	14	ANGEL1
ENSG00000013561	ENSG00000013561.13	141337893	141369856	5	RNF14
ENSG00000013563	ENSG00000013563.9	153629579	153640449	X	DNASE1L1
ENSG00000013573	ENSG00000013573.12	31226779	31257725	12	DDX11
ENSG00000013583	ENSG00000013583.4	13127798	13153207	12	HEBP1
ENSG00000013588	ENSG00000013588.5	13043716	13070871	12	GPRC5A
ENSG00000013619	ENSG00000013619.9	149529689	149682448	X	MAMLD1
ENSG00000013725	ENSG00000013725.10	60739115	60787849	11	CD6
ENSG00000013810	ENSG00000013810.14	1723227	1746898	4	TACC3
ENSG00000014123	ENSG00000014123.9	96969471	97003152	6	UFL1
ENSG00000014138	ENSG00000014138.4	65029233	65073060	11	POLA2
ENSG00000014164	ENSG00000014164.6	144519825	144623623	8	ZC3H3
ENSG00000014216	ENSG00000014216.11	64948037	64979477	11	CAPN1
ENSG00000014257	ENSG00000014257.11	132036211	132087142	3	ACPP
ENSG00000014641	ENSG00000014641.13	63815743	63834331	2	MDH1
ENSG00000014824	ENSG00000014824.9	41992489	42092474	4	SLC30A9
ENSG00000014914	ENSG00000014914.15	149900543	149908791	1	MTMR11
ENSG00000014919	ENSG00000014919.8	101471601	101491857	10	COX15
ENSG00000015133	ENSG00000015133.14	91737667	91884188	14	CCDC88C
ENSG00000015153	ENSG00000015153.10	42550906	42632151	12	YAF2
ENSG00000015171	ENSG00000015171.14	180405	300577	10	ZMYND11
ENSG00000015285	ENSG00000015285.6	48534985	48549818	X	WAS
ENSG00000015413	ENSG00000015413.5	89679716	89704839	16	DPEP1
ENSG00000015475	ENSG00000015475.14	18216906	18257536	22	BID
ENSG00000015479	ENSG00000015479.13	138609441	138667360	5	MATR3
ENSG00000015520	ENSG00000015520.10	44552134	44580914	7	NPC1L1
ENSG00000015532	ENSG00000015532.5	48423453	48440499	17	XYLT2
ENSG00000015568	ENSG00000015568.8	110550335	110615272	2	RGPD5
ENSG00000015592	ENSG00000015592.12	27092840	27115937	8	STMN4
ENSG00000015676	ENSG00000015676.13	44418720	44530479	7	NUDCD3
ENSG00000016082	ENSG00000016082.10	50678921	50690564	5	ISL1
ENSG00000016391	ENSG00000016391.6	53846362	53880417	3	CHDH
ENSG00000016402	ENSG00000016402.8	137321108	137366298	6	IL20RA
ENSG00000016490	ENSG00000016490.11	86934051	86965972	1	CLCA1
ENSG00000016602	ENSG00000016602.8	87012761	87046437	1	CLCA4
ENSG00000016864	ENSG00000016864.12	52728505	52740048	3	GLT8D1
ENSG00000017260	ENSG00000017260.15	130569439	130735556	3	ATP2C1
ENSG00000017373	ENSG00000017373.11	36686251	36762183	17	SRCIN1
ENSG00000017427	ENSG00000017427.11	102789645	102874423	12	IGF1
ENSG00000017483	ENSG00000017483.10	48316920	48328644	X	SLC38A5
ENSG00000017621	ENSG00000017621.11	49019061	49024822	X	MAGIX
ENSG00000017797	ENSG00000017797.7	9475007	9538114	18	RALBP1
ENSG00000018189	ENSG00000018189.8	71569921	71673032	4	RUFY3
ENSG00000018236	ENSG00000018236.10	41086244	41466220	12	CNTN1
ENSG00000018280	ENSG00000018280.12	219246752	219261617	2	SLC11A1
ENSG00000018408	ENSG00000018408.10	149235022	149454501	3	WWTR1
ENSG00000018510	ENSG00000018510.8	178257372	178408564	2	AGPS
ENSG00000018607	ENSG00000018607.5	133066882	133076309	2	ZNF806
