Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	FPKM	Gene name
7	52011683	52015728	0.0	1700015G11RIK
1	177729814	177753324	0.0	1700016C15RIK
8	11654924	11701063	0.0	1700016D06RIK
13	5855508	5858092	0.0	1700016G22RIK
5	103648039	103656010	0.0	1700016H13RIK
11	75999912	76003569	0.0	1700016K19RIK
1	80445932	80479867	0.0	1700016L21RIK
6	13413337	13415996	0.0	1700016P04RIK
9	57253117	57262612	17.3528	1700017B05RIK
19	11096816	11130876	0.0	1700017D01RIK
3	40504867	40522912	0.0	1700017G19RIK
2	168978268	168978906	0.0	1700017J07RIK
10	100590484	100618401	0.0	1700017N19RIK
13	31565492	31625792	0.0	1700018A04RIK
8	121530780	121544320	0.0	1700018B08RIK
3	48605732	48609102	0.0	1700018B24RIK
5	145042990	145045681	0.0	1700018F24RIK
X	102928372	102929094	0.0	1700018G05RIK
19	29046245	29048729	0.529451	1700018L02RIK
1	53158577	53187636	0.0	1700019A02RIK
1	52922324	53020179	0.126413	1700019D03RIK
2	45696605	45698447	0.0	1700019E08RIK
6	5963909	5977393	0.0	1700019G24RIK
12	96046767	96047120	0.0	1700019M22RIK
19	58785803	58794461	0.0	1700019N19RIK
2	130405259	130406074	0.0	1700020A23RIK
19	5502767	5503787	2.5647599999999997	1700020D05RIK
10	110784585	110896550	0.0	1700020G17RIK
11	83437677	83441233	0.924898	1700020L24RIK
9	120913774	120915252	0.0	1700020M21RIK
10	21593145	21622376	0.0	1700020N01RIK
X	69945300	69945978	0.0	1700020N15RIK
1	91404879	91406029	0.0	1700020N18RIK
10	43525133	43540994	14.3971	1700021F05RIK
2	173522586	173528501	0.0	1700021F07RIK
4	134448766	134450171	0.0	1700021N21RIK
5	24645453	24648860	0.0	1700022A21RIK
15	46324559	46373907	0.0	1700022A22RIK
16	59462909	59469238	0.0	1700022E09RIK
12	9565236	9570585	0.0	1700022H16RIK
4	42969604	42983640	0.147458	1700022I11RIK
11	109845878	109848476	0.0	1700023C21RIK
10	66120605	66254223	0.0	1700023F02RIK
11	103198944	103208558	0.0	1700023F06RIK
14	123987635	124015684	0.0	1700024B18RIK
14	32376068	32388391	0.0	1700024G13RIK
13	98984085	98984565	0.0	1700024P04RIK
15	77558239	77561892	0.0	1700025B11RIK
2	165078693	165090750	0.0	1700025C18RIK
19	11139664	11165320	0.0	1700025F22RIK
10	119413444	119426864	0.0	1700025F24RIK
1	151852403	152090125	0.452546	1700025G04RIK
17	54352583	54370074	0.0	1700025K24RIK
5	73268581	73284187	0.0	1700025M24RIK
6	39063878	39067598	1.30549	1700025N23RIK
2	132490634	132524057	0.0	1700026D11RIK
8	70948246	71085758	0.0	1700026F02RIK
1	72984844	73025507	0.0	1700027A15RIK
5	64454813	64467943	0.0	1700027F09RIK
3	45416584	45439310	0.0	1700027H10RIK
9	36668856	36693189	0.0	1700027I24RIK
10	43745809	43765836	0.063661	1700027J07RIK
7	28492550	28497713	0.0	1700028B04RIK
5	112206763	112210004	0.0	1700028D13RIK
5	151368675	151432118	0.616604	1700028E10RIK
10	82812123	82824242	0.0639378	1700028I16RIK
7	44229811	44246695	0.223872	1700028J19RIK
5	107534709	107551542	0.178844	1700028K03RIK
3	83555363	83574122	0.0	1700028M03RIK
19	23558753	23652812	0.0	1700028P14RIK
2	171956879	171962824	0.0	1700028P15RIK
7	131146439	131150580	0.0	1700029B22RIK
13	97021864	97034362	0.0	1700029F12RIK
8	13550733	13562461	0.0	1700029H14RIK
2	92382538	92385708	0.645049	1700029I15RIK
16	93391677	93458872	0.0	1700029J03RIK
8	45953606	45975252	2.56377	1700029J07RIK
4	135626655	135630198	0.0	1700029M20RIK
13	44439712	44469030	0.0	1700029N11RIK
15	81980540	81981563	0.0	1700029P11RIK
17	28905265	28906771	0.0	1700030A11RIK
12	20814257	20815727	0.592654	1700030C10RIK
12	20804381	20815779	0.592654	1700030C10RIK
6	117646693	117751769	0.0	1700030F04RIK
8	116969594	116978959	0.248973	1700030J22RIK
8	72443880	72461001	3.9923800000000003	1700030K09RIK
3	136435270	136449349	0.0	1700030L20RIK
8	121544382	121548342	0.0	1700030M09RIK
19	3053071	3197732	0.0	1700030N03RIK
10	116723067	116729177	0.0	1700030O20RIK
17	36923792	36933432	0.0	1700031A10RIK
X	102859186	102867971	0.0	1700031F05RIK
15	98398419	98416268	0.0	1700031M16RIK
12	52599981	52602322	0.0	1700031P21RIK
18	52646209	52663733	0.0	1700034E13RIK
5	112582936	112589996	0.0	1700034G24RIK
1	191886130	191907527	0.020877700000000003	1700034H15RIK
3	40900196	40902543	0.532551	1700034I23RIK
6	146950329	146954422	0.10855799999999999	1700034J05RIK
9	92979914	93005739	0.0	1700034K08RIK
1	9747648	9791924	10.807	1700034P13RIK
3	85317519	85332030	0.0	1700036G14RIK
16	3895179	3908689	2.66263	1700037C18RIK
2	131146324	131160081	9.07617	1700037H04RIK
19	44828493	44835938	0.0	1700039E22RIK
9	57175275	57186108	0.0	1700041C23RIK
16	76819583	77010897	0.0	1700041M19RIK
4	116173372	116174290	0.0	1700042G07RIK
4	57360868	57364292	0.0	1700042G15RIK
11	11868123	11885321	3.85261	1700042O10RIK
14	118365878	118398170	0.0	1700044C05RIK
18	49523289	49524440	0.0	1700044K03RIK
4	150828225	150854949	0.0	1700045H11RIK
11	14560355	14599225	0.0	1700046C09RIK
8	26082609	26096522	0.0	1700047A11RIK
14	44191607	44213237	0.0	1700047E10RIK
15	11964276	11970086	0.0	1700047G03RIK
12	55199592	55217168	0.0	1700047I17RIK2
5	108763842	108768914	0.0	1700047L14RIK
1	182287990	182303325	0.053478	1700047M11RIK
16	92308716	92312468	0.0	1700048M11RIK
9	121937223	121947016	0.257684	1700048O20RIK
6	147690241	147702374	0.0	1700049E15RIK
6	100527400	100533426	0.0	1700049E22RIK
10	71980092	71980634	0.0	1700049L16RIK
11	72266421	72268575	0.0	1700051A21RIK
12	80923432	80924449	0.0	1700052I22RIK
11	105177726	105181433	5.1277099999999995	1700052K11RIK
19	53033648	53084516	0.0	1700054A03RIK
6	112210708	112212519	0.0	1700054K19RIK
2	118304914	118308166	0.0	1700054M17RIK
9	64038465	64041465	0.0	1700055C04RIK
1	184033030	184034301	0.49550299999999997	1700056E22RIK
9	92309377	92357876	0.0642171	1700057G04RIK
4	124414416	124485959	0.0	1700057H15RIK
6	143593353	143651288	0.0	1700060C16RIK
2	158192008	158195749	0.0	1700060C20RIK
2	9189515	9197477	0.0	1700061F12RIK
17	56875477	56888904	0.139504	1700061G19RIK
3	117060522	117077765	0.0	1700061I17RIK
1	95990659	96021758	0.0	1700063A18RIK
9	41192446	41217990	0.0	1700063D05RIK
5	91766242	91767300	0.0	1700063O14RIK
10	119092905	119103107	0.0	1700064J06RIK
12	99626053	99627974	0.0	1700064M15RIK
9	95855418	95858322	0.42166000000000003	1700065D16RIK
15	63817188	63821393	0.0	1700065I16RIK
6	35330846	35336825	0.0	1700065J11RIK
1	192841661	192842740	0.0	1700065J18RIK
6	73436986	73471021	0.0	1700065L07RIK
18	49803326	49817958	0.0	1700065O20RIK
1	39839175	39847334	0.0	1700066B17RIK
18	35703225	35730869	0.906644	1700066B19RIK
1	57377620	57385423	3.3292300000000004	1700066M21RIK
5	87908579	87979351	0.0	1700066N21RIK
18	57504422	57533752	0.0	1700066O22RIK
1	89016113	89022210	0.0	1700067G17RIK
8	84001502	84004770	0.124099	1700067K01RIK
17	48089319	48090918	0.0	1700067P10RIK
5	113692422	113724772	0.103566	1700069L16RIK
6	118246695	118248452	0.0	1700069P05RIK
11	81572655	81573473	0.0	1700071K01RIK
17	43588340	43592442	52.4618	1700071M16RIK
9	58370504	58374183	0.0	1700072B07RIK
6	120554796	120562879	0.0	1700072O05RIK
6	145387596	145402179	0.0	1700073E17RIK
13	119680040	119681588	0.0	1700074H08RIK
6	40920437	40940557	0.0	1700074P13RIK
2	4132063	4141141	0.0	1700080N15RIK
X	51968695	51972772	0.0	1700080O16RIK
5	119108234	119114543	0.0	1700081H04RIK
2	30236795	30238223	0.592267	1700084E18RIK
13	70004050	70028348	0.0	1700084F23RIK
15	33403985	33405976	0.0	1700084J12RIK
12	82932520	82939155	0.0	1700085C21RIK
12	74284242	74295945	0.0	1700086L19RIK
18	38238405	38250565	12.1944	1700086O06RIK
15	79129349	79141253	2.71203	1700088E04RIK
14	42089750	42095277	0.0	1700091H14RIK
8	77624172	77628957	0.0	1700092C02RIK
14	69164797	69171857	0.0	1700092C10RIK
13	26283150	26312406	0.0	1700092E19RIK
11	114198258	114199199	0.0	1700092K14RIK
19	8740718	8741225	1.085	1700092M07RIK
11	23516203	23521155	0.0	1700093K21RIK
3	90062796	90068347	1.73823	1700094D03RIK
10	76389015	76401507	0.0683195	1700094J05RIK
6	52492451	52500086	0.0	1700094M24RIK
4	146519039	146546873	0.0630469	1700095A21RIK
5	112793292	112801701	0.0	1700095B10RIK
11	109346839	109353651	0.0	1700096J18RIK
5	25530013	25531466	2.6207599999999998	1700096K18RIK
17	30622441	30626905	2.73794	1700097N02RIK
13	70573241	70576110	0.16161	1700100L14RIK
6	129531950	129533817	1.31697	1700101I11RIK
12	7372039	7380330	0.0	1700101O22RIK
17	3557824	3559862	0.889351	1700102H20RIK
9	108392805	108410934	0.336304	1700102P08RIK
12	54233615	54242320	0.0	1700104L18RIK
19	7382537	7383561	0.280802	1700105P06RIK
14	76672963	76687169	0.0	1700108F19RIK
14	122229905	122233654	0.354402	1700108J01RIK
14	61292980	61318146	0.0	1700109G14RIK
11	84716976	84720432	0.0	1700109G15RIK
5	3571566	3584356	0.812787	1700109H08RIK
14	39655663	39685293	0.0	1700109I08RIK
15	77084398	77096314	0.0	1700109K24RIK
17	10324602	10329307	0.100385	1700110C19RIK
14	3262340	3305832	0.0	1700110I01RIK
9	40323426	40343564	0.308525	1700110K17RIK
X	69929259	70143588	0.0	1700111N16RIK
1	184527841	184557691	0.0	1700112H15RIK
5	77006449	77018863	0.0	1700112J05RIK
3	88171556	88177785	3.4377199999999997	1700113A16RIK
10	87058045	87230589	0.852843	1700113H08RIK
16	34935854	34939329	0.0	1700119H24RIK
15	99249511	99262044	0.583648	1700120C14RIK
18	74525140	74531124	0.0	1700120E14RIK
7	135191764	135196002	0.0	1700120G07RIK
7	127603900	127604445	0.505895	1700120K04RIK
X	104816776	104842455	0.0	1700121L16RIK
12	106442653	106447666	0.0	1700121N20RIK
17	48036745	48038293	0.0	1700122O11RIK
5	138561840	138564712	0.0	1700123K08RIK
6	96164497	96166243	0.0750747	1700123L14RIK
4	11966565	11994280	0.411127	1700123M08RIK
4	10479962	10797811	0.0	1700123O12RIK
14	54686216	54690741	13.0359	1700123O20RIK
16	5975585	5998496	0.0	1700123O21RIK
6	83761756	83762865	0.280105	1700124L16RIK
4	124890888	124894782	0.0	1700125G02RIK
3	27154026	27157019	0.24341	1700125G22RIK
8	68368434	68375710	0.0579303	1700125H03RIK
11	85170404	85181145	0.10516700000000001	1700125H20RIK
5	66166607	66191336	0.0	1700126H18RIK
14	106417187	106486520	0.0	1700128A07RIK
9	8221889	8241987	0.0	1700128F08RIK
14	59133040	59142893	0.0	1700129C05RIK
1	98131456	98144655	0.0	1810006J02RIK
12	49476991	49480862	0.0	1810007C17RIK
19	58606329	58629753	0.0	1810007D17RIK
7	65803111	65806449	0.0	1810008I18RIK
19	8888853	8890881	68.2938	1810009A15RIK
6	40964754	40968435	0.0	1810009J06RIK
11	107025681	107030443	2.10735	1810010H24RIK
8	22398721	22399596	0.217346	1810012K16RIK
16	8830100	8858922	16.3479	1810013L24RIK
10	86685525	86694806	1.84312	1810014B01RIK
19	58698917	58715770	0.0	1810018F18RIK
8	106135400	106138525	0.10254300000000001	1810019D21RIK
6	87675590	87722801	0.193709	1810020O05RIK
15	89071196	89075852	1.24921	1810021B22RIK
2	127186355	127208280	0.0260274	1810024B03RIK
7	73544036	73558386	7.15411	1810026B05RIK
X	12654879	12673668	20.7898	1810030O07RIK
13	64248700	64271852	0.22949299999999997	1810034E14RIK
3	122924203	122926184	63.1299	1810037I17RIK
6	91440987	91441755	2.10107	1810044D09RIK
9	51289686	51328924	0.0	1810046K07RIK
16	93342504	93366668	0.0	1810053B23RIK
19	3708293	3717881	4.110040000000001	1810055G02RIK
6	35252654	35263496	49.6929	1810058I24RIK
3	36475937	36482299	0.569261	1810062G17RIK
14	20546079	20570687	0.0956504	1810062O18RIK
9	22196963	22213860	0.0	1810064F22RIK
11	58421111	58426024	0.0	1810065E05RIK
19	4496788	4498583	0.028526799999999998	2010003K11RIK
2	158070367	158091797	0.135711	2010009K17RIK
18	75288655	75297329	0.0527112	2010010A06RIK
3	106481982	106485913	0.22756300000000002	2010016I18RIK
17	86285164	86287178	0.056455099999999994	2010106C02RIK
X	112495274	112558343	0.0	2010106E10RIK
5	93206518	93213475	0.99951	2010109A12RIK
X	7411817	7445143	1.1284399999999999	2010204K13RIK
1	37611677	37720085	0.08353039999999999	2010300C02RIK
X	13234641	13247736	0.26263400000000003	2010308F09RIK
6	42370671	42381215	0.0829717	2010310C07RIK
9	124291804	124312696	0.0	2010315B03RIK
8	70776815	70777823	8.40358	2010320M18RIK
7	29246561	29248466	0.31714000000000003	2200002D01RIK
7	30698926	30700536	0.0	2200002J24RIK
6	41030268	41035509	0.0	2210010C04RIK
8	84010222	84012171	0.724805	2210011C24RIK
13	58379817	58385225	15.8875	2210016F16RIK
5	114942158	114949783	22.9773	2210016L21RIK
12	73548478	73551986	0.0	2210039B01RIK
11	58608204	58616075	0.118756	2210407C18RIK
6	31220351	31337404	6.16034	2210408F21RIK
13	77135540	77613784	1.4873399999999999	2210408I21RIK
18	57632079	57638585	0.0	2210409D07RIK
11	88972657	88973002	0.0	2210409E12RIK
4	3656508	3663108	0.0	2210414B05RIK
5	148741840	148743139	0.0	2210417A02RIK
18	82754505	82759041	0.0	2210420H20RIK
17	35567450	35568952	0.0	2300002M23RIK
11	99836802	99838066	0.0	2300003K06RIK
9	63394447	63399246	11.9692	2300009A05RIK
6	129208412	129238725	11.2643	2310001H17RIK
2	163471957	163473005	0.0	2310001K24RIK
12	80507206	80517954	0.0	2310002D06RIK
7	43695209	43797958	0.012163	2310002F09RIK
4	73939371	73950846	0.0	2310002L09RIK
2	155097789	155100081	0.0	2310005A03RIK
13	98424109	98435065	0.0	2310005E17RIK
8	26814593	26884380	0.0	2310008N11RIK
9	73039718	73042779	35.0335	2310009A05RIK
1	138851983	138856852	4.73327	2310009B15RIK
7	90124822	90129984	3.02628	2310010J17RIK
10	80318254	80320537	25.2008	2310011J03RIK
12	80120546	80132844	4.25937	2310015A10RIK
16	13514131	13521107	0.0317259	2310015D24RIK
12	30410559	30467358	0.0	2310016D03RIK
13	99076526	99087921	0.0	2310020H05RIK
7	27553233	27582099	3.85483	2310022A10RIK
8	124635756	124663369	1.4746700000000001	2310022B05RIK
1	150320681	150346771	0.0	2310030A07RIK
9	50739691	50746536	0.0265923	2310030G06RIK
11	59208321	59210738	13.6009	2310033P09RIK
16	88758847	88759792	0.0	2310034C09RIK
19	46348201	46350302	4.37576	2310034G01RIK
5	100210692	100218049	0.0302897	2310034O05RIK
17	46772635	46773396	11.0354	2310039H08RIK
10	95336276	95366202	0.0	2310039L15RIK
6	86483376	86488227	0.368288	2310040G24RIK
1	177641542	177642943	0.0	2310043L19RIK
15	38549343	38594934	0.0	2310043O21RIK
3	92868359	92870216	0.0	2310050C09RIK
10	28972288	28986303	0.0	2310057J18RIK
7	131338220	131362759	3.6515	2310057M21RIK
16	88773179	88774206	0.0	2310057N15RIK
17	35892677	35897431	3.4366199999999996	2310061I04RIK
16	88707169	88707962	0.0	2310061N02RIK
11	67112461	67120080	0.0	2310065F04RIK
15	99972158	99973287	0.238873	2310068J16RIK
6	82877864	82881853	1.1972399999999999	2310069B03RIK
16	88626786	88627666	0.0	2310079G19RIK
7	44246722	44252319	10.0371	2410002F23RIK
11	97598511	97622893	0.061792999999999994	2410003L11RIK
3	145938014	145944829	10.4466	2410004B18RIK
11	102958300	102964387	0.0	2410004I01RIK
12	17003319	17011727	0.0362566	2410004P03RIK
11	62602877	62604807	66.8862	2410006H16RIK
14	70852933	70873954	0.0	2410012E07RIK
17	36145018	36163176	0.0	2410017I17RIK
12	22953997	23010284	0.25453899999999996	2410018L13RIK
17	69275362	69277208	0.0	2410021H03RIK
16	92478742	92497366	0.0	2410124H12RIK
5	118245227	118266093	2.91315	2410131K14RIK
17	36977701	36981237	0.0	2410137M14RIK
13	66418114	66441118	0.077611	2410141K09RIK
2	153341157	153346073	3.15469	2500004C02RIK
16	18836578	18840160	7.245419999999999	2510002D24RIK
16	21649045	21694665	3.0298700000000003	2510009E07RIK
4	147940895	147947314	27.744	2510039O18RIK
6	13867735	13871518	14.8905	2610001J05RIK
X	107782751	107816334	6.21701	2610002M06RIK
8	20385782	20424814	3.95146	2610005L07RIK
10	79064374	79097600	2.8166599999999997	2610008E11RIK
19	25671134	25672253	0.0	2610016A17RIK
16	11203366	11246201	1.99465	2610020C07RIK
11	85791661	85832223	0.161151	2610027K06RIK
4	125887851	125922417	0.0	2610028E06RIK
10	76449081	76461110	0.036153	2610028H24RIK
11	113043895	113201838	8.38333	2610035D17RIK
14	122470284	122475199	0.0	2610035F20RIK
15	96134819	96284495	0.00841481	2610037D02RIK
8	129216354	129234406	6.99903	2610044O15RIK8
1	9560832	9631175	0.026520299999999997	2610203C22RIK
7	84689640	84779053	0.130217	2610206C17RIK
4	10874498	10899425	10.9064	2610301B20RIK
6	86848399	86849440	1.76862	2610306M01RIK
13	28460034	28885620	0.0	2610307P16RIK
3	45280437	45378260	0.0	2610316D01RIK
16	17113398	17125167	2.31644	2610318N02RIK
11	78261752	78290623	42.6914	2610507B11RIK
11	59199836	59202385	7.1374	2610507I01RIK
14	37102140	37114022	0.09487899999999999	2610528A11RIK
4	118526999	118530228	0.0	2610528J11RIK
5	23850597	23855038	1.0408600000000001	2700038G22RIK
18	62751674	62756347	0.0	2700046A07RIK
19	32389216	32391190	2.26686	2700046G09RIK
12	71136848	71243303	6.34119	2700049A03RIK
17	13482553	13668891	0.375564	2700054A10RIK
18	24470850	24477798	9.48651	2700062C07RIK
3	5177586	5220841	0.0	2700069I18RIK
19	7417625	7425904	0.484807	2700081O15RIK
19	59493136	59559391	0.0	2700089I24RIK
12	55045661	55080110	3.3911599999999997	2700097O09RIK
17	94750100	94775132	4.22489	2700099C18RIK
11	64079484	64083259	4.15226	2810001G20RIK
2	94406151	94411682	5.44076	2810002D19RIK
8	124836945	124863120	8.9696	2810004N23RIK
5	124328089	124341844	9.833860000000001	2810006K23RIK
8	123042466	123044602	7.89663	2810013P06RIK
11	58867216	58883288	2.88778	2810021J22RIK
1	157412352	157420236	1.3343399999999999	2810025M15RIK
12	111572317	111574402	0.45296400000000003	2810029C07RIK
12	5375870	5416631	0.0	2810032G03RIK
7	8086326	8093041	0.0	2810047C21RIK1
13	83891208	83928710	0.0	2810049E08RIK
X	108833800	108974906	0.5753699999999999	2810403D21RIK
8	41827267	42046202	0.0	2810404M03RIK
2	116075165	116076096	0.06244299999999999	2810405F15RIK
11	69897352	69900987	1.26209	2810408A11RIK
1	64679871	64690659	0.9175549999999999	2810408I11RIK
11	120185400	120189852	0.6926720000000001	2810410L24RIK
13	3478230	3501393	0.196528	2810429I04RIK
11	102619796	102624416	0.0	2810433D01RIK
1	162004969	162016494	0.9766370000000001	2810442N19RIK
6	134897961	134901108	2.25305	2810454H06RIK
1	86045863	86055456	0.0	2810459M11RIK
17	25570358	25575043	0.0	2810468N07RIK
11	28681564	28693276	0.0	2810471M01RIK
5	25100983	25110109	0.18604300000000001	2900005J15RIK
1	127753616	127774092	0.0	2900009J06RIK
5	113086323	113221236	0.051577599999999994	2900026A02RIK
11	117611247	117613857	0.730403	2900041M22RIK
9	46913493	46927366	0.0	2900052N01RIK
18	76091557	76098471	0.0	2900057B20RIK
1	118458652	118459267	7.78417	2900060B14RIK
7	81523550	81531498	1.4747	2900076A07RIK
9	112234277	112348925	0.0879698	2900079G21RIK
7	12512517	12556323	0.0	2900092C05RIK
2	156388065	156392979	32.3315	2900097C17RIK
9	109827943	109832706	1.69976	3000002C10RIK
X	152368573	152416698	0.0	3010001F23RIK
7	124625670	124708935	0.0	3100003L05RIK
16	13671929	13678388	3.1903	3110001I22RIK
1	120121187	120188189	7.637639999999999	3110009E18RIK
12	110151654	110158077	0.0	3110009F21RIK
13	111211467	111229431	0.0	3110015C05RIK
4	108719649	108781904	0.0	3110021N24RIK
12	49389652	49407360	0.0	3110039M20RIK
7	81782182	81789478	15.6239	3110040N11RIK
1	169969409	169972396	0.353288	3110045C21RIK
12	70991615	71015832	8.684619999999999	3110056K07RIK
13	119487252	119488384	0.474375	3110070M22RIK
5	139359739	139460527	6.1707	3110082I17RIK
5	30103584	30106086	0.0	3110082J24RIK
2	115493513	115527744	0.0117265	3110099E03RIK
12	88365314	88377323	0.17807699999999999	3200001D21RIK
2	150310935	150362765	0.804267	3300002I08RIK
17	5798657	5803240	0.0	3300005D01RIK
14	32659119	32685293	0.0	3425401B19RIK
X	135022734	135060336	0.43355	3632454L22RIK
X	56136572	56153498	2.39551	3830403N18RIK
14	12284173	12303231	31.461	3830406C13RIK
13	107022553	107055497	1.05156	3830408C21RIK
X	64173548	64178778	0.0	3830417A13RIK
8	10924427	10928696	0.0108484	3930402G23RIK
19	28893042	28967800	0.320945	4430402I18RIK
2	93027956	93044732	0.161156	4631405J19RIK
3	19894886	19901033	4.26581	4632415L05RIK
7	92734166	92741468	16.7207	4632427E13RIK
16	30008667	30021430	0.37211700000000003	4632428C04RIK
6	148212253	148215731	0.21263200000000002	4732416N19RIK
7	25376819	25566417	0.783192	4732471J01RIK
11	113203315	113209669	0.0	4732490B19RIK
17	12318853	12327250	0.697008	4732491K20RIK
8	10899922	10903893	0.0	4833411C07RIK
7	67784538	67804139	0.0	4833412C05RIK
11	95858865	95861044	1.9889	4833417C18RIK
17	87274886	87282814	0.822823	4833418N02RIK
